transfer_id,client_id,asset_type,asset_name,ticker,quantity_requested,quantity_received,requested_value,settled_value,origin_custodian,destination_custodian,transfer_type,transfer_direction,request_date,expected_settlement_date,actual_settlement_date,current_stage,status,priority,responsible_team,documentation_complete,exception_flag,exception_type,lifecycle_status,sla_days,elapsed_days,sla_status,reconciliation_status,operational_risk,quantity_difference,quantity_reconciliation,value_difference,value_reconciliation,reconciliation_result,reconciliation_severity,risk_score,risk_drivers,final_risk_level
AT00001,CL93810,Equities,Apple Inc.,AAPL,2263,2263,362535.62,362535.62,BNY Mellon,J.P. Morgan,Internal,Outbound,2026-08-03,2026-08-04,2026-08-04,Completed,Completed,Low,Settlement,True,False,,Completed,2,47,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00002,CL95181,Funds,Global Equity Fund,GEF,3729,3729,470106.91,470106.91,J.P. Morgan,State Street,External,Outbound,2026-08-18,2026-08-20,2026-08-20,Completed,Completed,Medium,Transfers,True,False,,Completed,5,32,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00003,CL57052,Bonds,Brazilian Government Bond,BRGOV,145,145,153906.72,153906.72,Northern Trust,J.P. Morgan,External,Inbound,2026-09-05,2026-09-08,,In Transit,In Progress,Medium,Settlement,True,False,,In Transit,5,14,Outside SLA,Pending,High,0,Matched,0.0,Matched,Matched,,30,SLA Breach,Medium
AT00004,CL19116,Equities,Microsoft Corp.,MSFT,2380,2380,1174172.25,1174172.25,BNY Mellon,J.P. Morgan,External,Outbound,2026-08-30,2026-09-02,2026-09-02,Completed,Completed,Medium,Transfers,True,False,,Completed,5,20,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00005,CL89840,ETFs,iShares MSCI Brazil ETF,EWZ,2015,2015,281840.81,281840.81,Northern Trust,State Street,Internal,Outbound,2026-08-04,2026-08-06,,Reconciliation,In Progress,Medium,Transfers,True,False,,Pending Reconciliation,2,46,Outside SLA,Pending,High,0,Matched,0.0,Matched,Matched,,30,SLA Breach,Medium
AT00006,CL37653,Bonds,US Treasury 10Y,UST10Y,345,345,344946.96,344946.96,Northern Trust,BNY Mellon,External,Inbound,2026-08-16,2026-08-21,2026-08-22,Completed,Completed,Medium,Reconciliation,True,False,,Completed,5,34,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00007,CL38746,ETFs,iShares MSCI Brazil ETF,EWZ,4052,4052,405200.72,405200.72,J.P. Morgan,BNY Mellon,Internal,Inbound,2026-09-13,2026-09-17,2026-09-18,Completed,Completed,Medium,Reconciliation,True,False,,Completed,2,6,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00008,CL82512,Equities,Apple Inc.,AAPL,4408,4408,1709841.2,1709841.2,State Street,J.P. Morgan,External,Outbound,2026-08-11,2026-08-15,2026-08-15,Completed,Completed,Low,Transfers,True,False,,Completed,5,39,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00009,CL91959,Bonds,Brazilian Government Bond,BRGOV,269,269,274862.6,274862.6,BNY Mellon,Northern Trust,Internal,Inbound,2026-09-08,2026-09-11,2026-09-11,Completed,Completed,Medium,Settlement,True,False,,Completed,2,11,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00010,CL17592,ETFs,iShares MSCI Brazil ETF,EWZ,655,655,63606.66,59668.29,Northern Trust,J.P. Morgan,Internal,Inbound,2026-09-12,2026-09-16,,Approval,Exception,High,Settlement,True,True,Value Difference,Exception,2,7,Outside SLA,Pending,Critical,0,Matched,3938.3700000000026,Difference,Value Difference,Medium,100,SLA Breach | Value Difference | High Priority,Critical
AT00011,CL50857,Funds,Emerging Markets Fund,EMF,3109,3109,307349.57,307349.57,Itaú Custódia,Northern Trust,Internal,Inbound,2026-08-15,2026-08-16,2026-08-16,Completed,Completed,Low,Transfers,True,False,,Completed,2,35,Within SLA,Matched,Low,0,Matched,0.0,Matched,Matched,,0,No Active Risk,Low
AT00012,CL92719,Equities,Microsoft Corp.,MSFT,562,562,257080.72,257080.72,State Street,J.P. Morgan,Internal,Outbound,2026-09-12,2026-09-16,2026-09-16,Completed,Completed,High,Custody Operations,True,False,,Completed,2,7,Within SLA,Matched,Medium,0,Matched,0.0,Matched,Matched,,15,High Priority,Low
AT00013,CL41850,Funds,Global Fixed Income Fund,GIF,1609,1609,59498.64,59498.64,Northern Trust,State Street,External,Outbound,2026-08-30,2026-08-31,2026-08-31,Completed,Exception,Medium,Reconciliation,False,True,Missing Documentation,Exception,5,20,Outside SLA,Pending,Critical,0,Matched,0.0,Matched,Matched,,55,SLA Breach | Missing Documentation,High
